time_us,input_abs2,output_abs2,rho_sg_abs2_norm,Omega_c
0.0,8347196.04209697,8347196.04209697,,62831853.071795866
0.0015003750937734434,8838393.38843702,93228253.39232992,,62831853.071795866
0.003000750187546887,9358130.571999237,26650891.731372867,,62831853.071795866
0.004501125281320331,9908044.122950286,4430155989.885834,,62831853.071795866
0.006001500375093774,10489863.137835052,489196403.5784321,,62831853.071795866
0.007501875468867218,11105414.441352325,896681605159.6267,,62831853.071795866
0.009002250562640661,11756628.031728927,610508096426.6995,,62831853.071795866
0.010502625656414105,12445542.825029083,364083432393213.6,,62831853.071795866
0.012003000750187547,13174312.714558782,2409351344634823.5,,62831853.071795866
0.013503375843960991,13945212.962383553,2.010706901794154e+17,,62831853.071795866
0.015003750937734437,14760646.940878399,4.995140832066793e+18,,62831853.071795866
0.01650412603150788,15623153.24318466,1.1693292434963985e+20,,62831853.071795866
0.018004501125281323,16535413.182447635,9.119316757495915e+21,,62831853.071795866
0.019504876219054765,17500258.700761333,5.055654369793486e+22,,62831853.071795866
0.02100525131282821,18520680.70985472,1.5695906567367124e+25,,62831853.071795866
0.022505626406601652,19599837.886723805,2.845987214783377e+24,,62831853.071795866
0.024006001500375095,20741065.94863408,2.532690912452041e+28,,62831853.071795866
0.02550637659414854,21947887.433210403,4.710557594400016e+28,,62831853.071795866
0.027006751687921982,23224022.010693587,3.7233127191273145e+31,,62831853.071795866
0.028507126781695424,24573397.35685906,4.025856076172635e+32,,62831853.071795866
0.030007501875468873,26000160.616609067,4.750192520318967e+34,,62831853.071795866
0.03150787696924231,27508690.489814714,1.553547287894099e+36,,62831853.071795866
0.03300825206301576,29103609.972652543,4.791149506413702e+37,,62831853.071795866
0.0345086271567892,30789799.789433815,4.357416519461345e+39,,62831853.071795866
0.036009002250562645,32572412.55173866,2.971693681547008e+40,,62831853.071795866
0.037509377344336084,34456887.68363222,9.978174499954938e+42,,62831853.071795866
0.03900975243810953,36448967.1537362,2.1060896878016567e+42,,62831853.071795866
0.04051012753188297,38554712.05709097,1.9339968964197584e+46,,62831853.071795866
0.04201050262565642,40780520.091980666,4.0712724676476235e+46,,62831853.071795866
0.04351087771942986,43133143.97924422,3.1766270630594667e+49,,62831853.071795866
0.045011252813203305,45619710.874100804,3.808444054986648e+50,,62831853.071795866
0.046511627906976744,48247742.82309892,4.2916611288085615e+52,,62831853.071795866
0.04801200300075019,51025178.32157103,1.548604503410529e+54,,62831853.071795866
0.049512378094523635,53960395.02983099,4.3698997728891805e+55,,62831853.071795866
0.05101275318829708,57062233.70941415,4.4605231013900275e+57,,62831853.071795866
0.052513128282070526,60340023.44381097,2.526230921622799e+58,,62831853.071795866
0.054013503375843964,63803608.21152527,1.0306943181860611e+61,,62831853.071795866
0.05551387846961741,67463374.8827968,5.329718903410583e+59,,62831853.071795866
0.05701425356339085,71330282.7150076,1.9904044302534802e+64,,62831853.071795866
0.058514628657164294,75415894.4257278,5.771310757352852e+64,,62831853.071795866
0.06001500375093775,79732408.92638361,3.2218671719516384e+67,,62831853.071795866
0.06151537884471118,84292695.80386476,4.5821669842364e+68,,62831853.071795866
0.06301575393848462,89110331.64189719,4.232910820644807e+70,,62831853.071795866
0.06451612903225808,94199638.27871147,1.7657763702409828e+72,,62831853.071795866
0.06601650412603152,99575723.10257475,4.083513478367284e+73,,62831853.071795866
0.06751687921980495,105254521.49193282,4.9253176273905785e+75,,62831853.071795866
0.0690172543135784,111252841.51244248,2.035076500932625e+76,,62831853.071795866
0.07051762940735185,117588410.98892549,1.1092471194921653e+79,,62831853.071795866
0.07201800450112529,124279927.07638934,4.928972888942231e+76,,62831853.071795866
0.07351837959489874,131347108.46054532,2.0896898186245196e+82,,62831853.071795866
0.07501875468867217,138810750.325048,8.344792522242862e+82,,62831853.071795866
0.07651912978244561,146692782.22966367,3.289106557305003e+85,,62831853.071795866
0.07801950487621906,155016329.0509285,5.594923875518519e+86,,62831853.071795866
0.0795198799699925,163805775.14471602,4.160676353080085e+88,,62831853.071795866
0.08102025506376594,173086831.89815778,2.0270743821846486e+90,,62831853.071795866
0.0825206301575394,182886608.8470018,3.757185679976336e+91,,62831853.071795866
0.08402100525131284,193233688.5434704,5.449767481684968e+93,,62831853.071795866
0.08552138034508629,204158205.36905685,1.5434465546271115e+94,,62831853.071795866
0.08702175543885972,215691928.49668762,1.1928692931100713e+97,,62831853.071795866
0.08852213053263316,227868349.2170211,1.596811511865323e+96,,62831853.071795866
0.09002250562640661,240722772.85457048,2.1879376548297026e+100,,62831853.071795866
0.09152288072018006,254292415.51090518,1.1612059799911802e+101,,62831853.071795866
0.09302325581395349,268616505.8840468,3.3421488527894938e+103,,62831853.071795866
0.09452363090772693,283736392.42601246,6.7617054361969e+104,,62831853.071795866
0.09602400600150038,299695656.11357886,4.057906548605663e+106,,62831853.071795866
0.09752438109527382,316540229.1212929,2.3140340054376673e+108,,62831853.071795866
0.09902475618904727,334318519.70049495,3.3999428789160845e+109,,62831853.071795866
0.10052513128282071,353081543.58328813,6.004511819090436e+111,,62831853.071795866
0.10202550637659416,372883062.24659294,1.0846339880220915e+112,,62831853.071795866
0.1035258814703676,393779728.3883141,1.2777929119379273e+115,,62831853.071795866
0.10502625656414105,415831238.985429,5.625526186812601e+114,,62831853.071795866
0.10652663165791448,439100496.32229084,2.281219401196209e+118,,62831853.071795866
0.10802700675168793,463653777.39715487,1.5605778738662792e+119,,62831853.071795866
0.10952738184546137,489560912.13527954,3.3781014905396097e+121,,62831853.071795866
