mu,V_M1.0,V_M0.9,V_M0.8
0.0,1.0,0.9,0.8
0.005,0.9900990099009901,0.8910891089108911,0.7920792079207921
0.01,0.9803921568627451,0.8823529411764706,0.7843137254901961
0.015,0.970873786407767,0.8737864077669902,0.7766990291262136
0.02,0.9615384615384615,0.8653846153846154,0.7692307692307693
0.025,0.9523809523809523,0.8571428571428571,0.7619047619047619
0.03,0.9433962264150942,0.8490566037735849,0.7547169811320755
0.035,0.9345794392523364,0.8411214953271028,0.7476635514018691
0.04,0.9259259259259258,0.8333333333333333,0.7407407407407407
0.045,0.9174311926605504,0.8256880733944953,0.7339449541284404
0.05,0.9090909090909091,0.8181818181818181,0.7272727272727273
0.055,0.9009009009009008,0.8108108108108107,0.7207207207207207
0.06,0.8928571428571428,0.8035714285714285,0.7142857142857143
0.065,0.8849557522123894,0.7964601769911506,0.7079646017699116
0.07,0.8771929824561403,0.7894736842105262,0.7017543859649122
0.075,0.8695652173913044,0.782608695652174,0.6956521739130436
0.08,0.8620689655172414,0.7758620689655173,0.6896551724137931
0.085,0.8547008547008548,0.7692307692307693,0.6837606837606839
0.09,0.8474576271186441,0.7627118644067797,0.6779661016949153
0.095,0.8403361344537815,0.7563025210084034,0.6722689075630253
0.1,0.8333333333333334,0.75,0.6666666666666667
0.105,0.8264462809917356,0.7438016528925621,0.6611570247933884
0.11,0.819672131147541,0.7377049180327869,0.6557377049180328
0.115,0.8130081300813008,0.7317073170731707,0.6504065040650407
0.12,0.8064516129032259,0.7258064516129032,0.6451612903225807
0.125,0.8,0.72,0.64
0.13,0.7936507936507936,0.7142857142857143,0.634920634920635
0.135,0.7874015748031495,0.7086614173228346,0.6299212598425197
0.14,0.78125,0.703125,0.625
0.145,0.7751937984496123,0.6976744186046512,0.6201550387596899
0.15,0.7692307692307692,0.6923076923076923,0.6153846153846154
0.155,0.7633587786259541,0.6870229007633588,0.6106870229007634
0.16,0.7575757575757576,0.6818181818181818,0.6060606060606061
