time_us,Omega_in_abs2,Omega_out_dopp_abs2,Omega_out_nodopp_abs2
0.0,8347196.04209697,8347196.04209697,8347196.04209697
0.0015003750937734434,8838393.38843702,93228253.39232992,93228253.39232992
0.003000750187546887,9358130.571999237,26650891.731372867,26650891.731372856
0.004501125281320331,9908044.122950286,4428811499.947418,54527713.34036326
0.006001500375093774,10489863.137835052,489033778.1336556,967684.7547827612
0.007501875468867218,11105414.441352325,896369599047.3164,24065435.111026857
0.009002250562640661,11756628.031728927,610445034154.4891,37970116.523456335
0.010502625656414105,12445542.825029083,363939090262944.6,11401628.506119492
0.012003000750187547,13174312.714558782,2408685472135480.5,745001.4676867619
0.013503375843960991,13945212.962383553,2.0097971804954032e+17,17199854.255527634
0.015003750937734437,14760646.940878399,4.99334834274156e+18,27417383.56228553
0.01650412603150788,15623153.24318466,1.1687060037477648e+20,16998051.763203517
0.018004501125281323,16535413.182447635,9.115413703157965e+21,2601244.6291653938
0.019504876219054765,17500258.700761333,5.0521975160273394e+22,1461549.2552915937
0.02100525131282821,18520680.70985472,1.5688090966601906e+25,11591375.144043732
0.022505626406601652,19599837.886723805,2.841136544781189e+24,19539032.500951488
0.024006001500375095,20741065.94863408,2.5312367245020464e+28,17138269.889105704
0.02550637659414854,21947887.433210403,4.709601923486987e+28,7880999.976541725
0.027006751687921982,23224022.010693587,3.7208524123728043e+31,778851.5438311087
0.028507126781695424,24573397.35685906,4.023916244116765e+32,1242620.712620579
0.030007501875468873,26000160.616609067,4.746561430424549e+34,7470993.088096899
0.03150787696924231,27508690.489814714,1.5525918616239754e+36,13489214.227980973
0.03300825206301576,29103609.972652543,4.786825152788249e+37,14555484.524226265
0.0345086271567892,30789799.789433815,4.354262754385502e+39,10330486.683452409
0.036009002250562645,32572412.55173866,2.9682777339207784e+40,4219175.723797354
0.037509377344336084,34456887.68363222,9.969909380902908e+42,353760.58280538267
0.03900975243810953,36448967.1537362,2.1001121759908636e+42,785052.1495697609
0.04051012753188297,38554712.05709097,1.9321859872667563e+46,4586989.269227637
0.04201050262565642,40780520.091980666,4.0699747072060836e+46,8948993.301954808
0.04351087771942986,43133143.97924422,3.173277918351841e+49,11145257.936197069
0.045011252813203305,45619710.874100804,3.8055673630021595e+50,10061537.045388294
0.046511627906976744,48247742.82309892,4.286540880763171e+52,6538500.946025976
0.04801200300075019,51025178.32157103,1.5471433898160645e+54,2606856.8052889835
0.049512378094523635,53960395.02983099,4.363860760708437e+55,247512.94869221817
0.05101275318829708,57062233.70941415,4.4556818787630036e+57,401613.0038998183
0.052513128282070526,60340023.44381097,2.521801345669858e+58,2666273.5152402692
0.054013503375843964,63803608.21152527,1.0294422447871105e+61,5685624.384542984
0.05551387846961741,67463374.8827968,5.292410194918619e+59,7919721.83846311
0.05701425356339085,71330282.7150076,1.987727731887096e+64,8369532.820407141
0.058514628657164294,75415894.4257278,5.767926964605503e+64,6944008.385429626
0.06001500375093775,79732408.92638361,3.2170802271482625e+67,4375139.584783889
0.06151537884471118,84292695.80386476,4.577206870795598e+68,1797739.4793432602
0.06301575393848462,89110331.64189719,4.2259073211053825e+70,226931.38963735697
0.06451612903225808,94199638.27871147,1.7634719786606017e+72,162900.61958702377
0.06601650412603152,99575723.10257475,4.0757661915698613e+73,1458381.1517661952
0.06751687921980495,105254521.49193282,4.918078736589435e+75,3456857.194275308
0.0690172543135784,111252841.51244248,2.030100165528456e+76,5304735.208770286
0.07051762940735185,117588410.98892549,1.1074525696137408e+79,6293060.588157366
0.07201800450112529,124279927.07638934,5.045858941307079e+76,6099003.273741712
0.07351837959489874,131347108.46054532,2.0859992945700513e+82,4855901.736972371
0.07501875468867217,138810750.325048,8.337096239235508e+82,3053319.434397592
0.07651912978244561,146692782.22966367,3.282763367220515e+85,1327223.8753173025
0.07801950487621906,155016329.0509285,5.586905299135754e+86,227848.05228677535
0.0795198799699925,163805775.14471602,4.151818102286884e+88,45994.98630653045
0.08102025506376594,173086831.89815778,2.0236705062204758e+90,746387.6812801757
0.0825206301575394,182886608.8470018,3.748030926790314e+91,2014408.271239853
0.08402100525131284,193233688.5434704,5.439617138793844e+93,3385566.5025671883
0.08552138034508629,204158205.36905685,1.5384280532010792e+94,4405901.050859708
0.08702175543885972,215691928.49668762,1.19045080866895e+97,4769857.656515016
0.08852213053263316,227868349.2170211,1.602445530922319e+96,4396996.272462892
0.09002250562640661,240722772.85457048,2.1831382302945425e+100,3432805.2277202182
0.09152288072018006,254292415.51090518,1.159715127816465e+101,2183309.4910510834
0.09302325581395349,268616505.8840468,3.3341987814860138e+103,1010899.4177929705
0.09452363090772693,283736392.42601246,6.74955729658962e+104,225953.25029292007
0.09602400600150038,299695656.11357886,4.0472942716695e+106,5157.4439477660135
0.09752438109527382,316540229.1212929,2.309264791137389e+108,355761.5542491235
0.09902475618904727,334318519.70049495,3.389728976793234e+109,1129842.8964554234
0.10052513128282071,353081543.58328813,5.990935493228704e+111,2078654.5736338245
0.10202550637659416,372883062.24659294,1.0800257890813943e+112,2927825.2051051753
0.1035258814703676,393779728.3883141,1.2746722214853842e+115,3451265.8791534035
0.10502625656414105,415831238.985429,5.632007041993604e+114,3524871.6068346896
0.10652663165791448,439100496.32229084,2.2752272539177065e+118,3148703.3086691843
0.10802700675168793,463653777.39715487,1.5579875303673525e+119,2435716.8763332395
0.10952738184546137,489560912.13527954,3.3685196603129387e+121,1573662.5093582496
0.11102775693923482,516895470.8585298,8.06301599326788e+122,772529.7858033116
0.11252813203300825,545734961.4840775,3.9126331580686433e+124,211880.44483207358
