time_us,output_co_abs2,output_counter_abs2
0.0,457438969.82548946,457438969.82548946
0.011705685618729096,7887305285156.195,7887305285156.195
0.023411371237458192,4.271891393374672e+17,4.271891393374672e+17
0.03511705685618729,9.401634651582993e+17,9.401634651582993e+17
0.046822742474916385,4.7139379175816026e+17,4.7139379175816026e+17
0.05852842809364548,4.259887503316338e+17,4.259887503316338e+17
0.07023411371237458,466806534190184.44,466806534190184.44
0.08193979933110368,1.3540910514681678e+17,1.3540910514681678e+17
0.09364548494983277,6.648541624194598e+16,6.648541624194598e+16
0.10535117056856186,4.241892041444884e+16,4.241892041444884e+16
0.11705685618729096,2.8647623028347754e+17,2.8647623028347754e+17
0.12876254180602006,2.6083602496339446e+17,2.6083602496339446e+17
0.14046822742474915,5.1239759567721944e+16,5.1239759567721944e+16
0.15217391304347824,16637222973860.066,16637222973860.066
0.16387959866220736,2.4189141556232916e+16,2.4189141556232916e+16
0.17558528428093645,3.640520055141825e+16,3.640520055141825e+16
0.18729096989966554,5418791612983103.0,5418791612983103.0
0.19899665551839463,2.7028973429234744e+16,2.7028973429234744e+16
0.21070234113712372,1.3389067641148837e+17,1.3389067641148837e+17
0.2224080267558528,2.0166681322425584e+17,2.0166681322425584e+17
0.23411371237458192,1.4709103306390998e+17,1.4709103306390998e+17
0.24581939799331104,3.998074627080995e+16,3.998074627080995e+16
0.25752508361204013,1.0595048769753672e+16,1.0595048769753672e+16
0.2692307692307692,869269534136598.2,869269534136598.2
0.2809364548494983,4094512651397503.5,4094512651397503.5
0.2926421404682274,8163599434210263.0,8163599434210263.0
0.3043478260869565,2845914633539496.5,2845914633539496.5
0.3160535117056856,3852464130310735.5,3852464130310735.5
0.3277591973244147,2.7523883791327884e+16,2.7523883791327884e+16
0.3394648829431438,6.3417998929682984e+16,6.3417998929682984e+16
0.3511705685618729,8.781380970028266e+16,8.781380970028266e+16
0.362876254180602,7.88481395654392e+16,7.88481395654392e+16
0.3745819397993311,5.0242820569170024e+16,5.0242820569170024e+16
0.38628762541806017,2.254916168078784e+16,2.254916168078784e+16
0.39799331103678925,1.2361577685751676e+16,1.2361577685751676e+16
0.40969899665551834,1.3986942719072592e+16,1.3986942719072592e+16
0.42140468227424743,1.2602661111988728e+16,1.2602661111988728e+16
0.4331103678929765,8.098849938015584e+16,8.098849938015584e+16
0.4448160535117056,1.0433631165453928e+16,1.0433631165453928e+16
0.45652173913043476,2.506846164417386e+16,2.506846164417386e+16
0.46822742474916385,4617743050372496.0,4617743050372496.0
0.479933110367893,1.5208503967777914e+17,1.5208503967777914e+17
0.4916387959866221,1.6934726658525027e+17,1.6934726658525027e+17
0.5033444816053512,6.492237367171322e+17,6.492237367171322e+17
0.5150501672240803,1.9485839065257188e+18,1.9485839065257188e+18
0.5267558528428093,4.446850509204184e+18,4.446850509204184e+18
0.5384615384615384,8.802795782030411e+18,8.802795782030411e+18
0.5501672240802675,1.5974147482611653e+19,1.5974147482611653e+19
0.5618729096989966,2.733701767370774e+19,2.733701767370774e+19
0.5735785953177257,4.4847702904418e+19,4.4847702904418e+19
0.5852842809364548,7.125995411996408e+19,7.125995411996408e+19
0.5969899665551839,1.1041415629089699e+20,1.1041415629089699e+20
0.608695652173913,1.676188002409344e+20,1.676188002409344e+20
0.6204013377926421,2.501491915417841e+20,2.501491915417841e+20
0.6321070234113711,3.6789350618627604e+20,3.6789350618627604e+20
0.6438127090301003,5.3418200086317e+20,5.3418200086317e+20
0.6555183946488294,7.668412785534649e+20,7.668412785534649e+20
0.6672240802675585,1.0895217707688652e+21,1.0895217707688652e+21
0.6789297658862876,1.5333526904118874e+21,1.5333526904118874e+21
0.6906354515050167,2.1389841706718813e+21,2.1389841706718813e+21
0.7023411371237458,2.9590805286606136e+21,2.9590805286606136e+21
0.7140468227424749,4.0613308168796494e+21,4.0613308168796494e+21
0.725752508361204,5.532042135418991e+21,5.532042135418991e+21
0.7374581939799331,7.48037651409966e+21,7.48037651409966e+21
0.7491638795986622,1.0043282362796276e+22,1.0043282362796276e+22
0.7608695652173912,1.3391155289897476e+22,1.3391155289897476e+22
0.7725752508361203,1.773423926912538e+22,1.773423926912538e+22
0.7842809364548494,2.332974656272882e+22,2.332974656272882e+22
0.7959866220735785,3.0489632579148623e+22,3.0489632579148623e+22
0.8076923076923076,3.9588909421656755e+22,3.9588909421656755e+22
0.8193979933110367,5.107431927147307e+22,5.107431927147307e+22
0.8311036789297658,6.547311665045225e+22,6.547311665045225e+22
0.8428093645484949,8.340162860359084e+22,8.340162860359084e+22
0.854515050167224,1.0557317652912278e+23,1.0557317652912278e+23
0.866220735785953,1.3280485648940209e+23,1.3280485648940209e+23
0.8779264214046821,1.6602259125725598e+23,1.6602259125725598e+23
0.8896321070234112,2.062637931235787e+23,2.062637931235787e+23
0.9013377926421404,2.5467691864153083e+23,2.5467691864153083e+23
0.9130434782608695,3.1251716277603346e+23,3.1251716277603346e+23
0.9247491638795986,3.811375384794368e+23,3.811375384794368e+23
0.9364548494983277,4.619746264768257e+23,4.619746264768257e+23
0.9481605351170568,5.565283661785844e+23,5.565283661785844e+23
0.959866220735786,6.663353978003337e+23,6.663353978003337e+23
0.971571906354515,7.929356613549535e+23,7.929356613549535e+23
0.9832775919732442,9.378322105697302e+23,9.378322105697302e+23
0.9949832775919731,1.102444505671462e+24,1.102444505671462e+24
1.0066889632107023,1.288055800867128e+24,1.288055800867128e+24
1.0183946488294313,1.4957556282223258e+24,1.4957556282223258e+24
1.0301003344481605,1.7263787830054568e+24,1.7263787830054568e+24
