time_us,input_abs2,output_abs2
0.0,457438969.8260967,457438969.8260967
0.012544802867383511,939746064.2350577,11756642015375.613
0.025089605734767022,1917149378.992214,4.2432009938711706e+17
0.03763440860215054,3883912821.009021,9.655767262628664e+17
0.050179211469534045,7813598208.305616,5.7217175276157664e+17
0.06272401433691756,15609922946.712002,4.540707546070364e+17
0.07526881720430108,30968382729.315006,933871433407795.8
0.08781362007168457,61010470497.2105,1.5276604418322864e+17
0.10035842293906809,119359861129.09567,5.318438632380049e+16
0.11290322580645161,231889090744.16113,9.442218906401333e+16
0.12544802867383512,447373662147.76685,4.493447423449259e+17
0.1379928315412186,857094266289.9133,3.4534540413042515e+17
0.15053763440860216,1630627826028.112,6.896413928922218e+16
0.16308243727598565,3080698453658.768,695108433224446.9
0.17562724014336914,5779784077000.561,3.3257040217301212e+16
0.1881720430107527,10768175374057.3,2.63093075748044e+16
0.20071684587813618,19922356529666.805,911786921432586.0
0.2132616487455197,36602215870930.96,5.7671396159897816e+16
0.22580645161290322,66779341206085.04,1.908364163163192e+17
0.2383512544802867,120988743015521.1,2.484485175897707e+17
0.25089605734767023,217678673038248.8,1.489104225443582e+17
0.26344086021505375,388915166902767.25,3.805680473440452e+16
0.2759856630824372,690020448347454.5,4696093338741291.0
0.28853046594982074,1215729972965240.5,4022373981528280.0
0.3010752688172043,2127063078950465.5,3837464886236480.0
0.3136200716845878,3695657338943174.0,4728615751110123.0
0.3261648745519713,6376334710048563.0,435395113225097.2
0.3387096774193548,1.0924928363532772e+16,1.3002638759710872e+16
0.3512544802867383,1.8588064542026376e+16,6.85892669458873e+16
0.36379928315412186,3.1406376145170584e+16,9.16001514737455e+16
0.3763440860215054,5.269501906662553e+16,8.200863483317917e+16
0.38888888888888884,8.779896297576202e+16,6.459024387590976e+16
0.40143369175627236,1.4527045234243856e+17,6.925624870789698e+16
0.4139784946236559,2.3868947734331658e+17,1978085102019772.5
0.4265232974910394,3.894550506149743e+17,1.5194736610513048e+16
0.4390681003584229,6.310292482735607e+17,2.2113305805670544e+17
0.45161290322580644,1.0153358493032707e+18,84975666619089.88
0.4641577060931899,1.6223256464216138e+18,3.6416496445761944e+16
0.4767025089605734,2.5741534309480817e+18,2.838436710805087e+16
0.48924731182795694,4.056008970505005e+18,1.4242145666849416e+17
0.5017921146953405,6.346458823091269e+18,5.411279846401401e+17
0.5143369175627239,9.861253167375542e+18,1.8405245970426616e+18
0.5268817204301075,1.5216011669474447e+19,4.482395133749545e+18
0.5394265232974911,2.3315119133997007e+19,9.271838149240304e+18
0.5519713261648744,3.5476643787011736e+19,1.7410786299132516e+19
0.564516129032258,5.360625870262218e+19,3.0669727891044733e+19
0.5770609318996415,8.043712705707498e+19,5.162524363157388e+19
0.589605734767025,1.1985762989704054e+20,8.3985257124727e+19
0.6021505376344086,1.773547819272779e+20,1.3302987256437998e+20
0.6146953405017921,2.6060827515468854e+20,2.0620277644666742e+20
0.6272401433691756,3.8027833455255336e+20,3.1389643439826436e+20
0.639784946236559,5.510399001827809e+20,4.704836551796398e+20
0.6523297491039426,7.929258792984298e+20,6.956583342351078e+20
0.6648745519713262,1.1330529877628639e+21,1.0161589764712607e+21
0.6774193548387096,1.6078144605251405e+21,1.4679593697720803e+21
0.6899641577060932,2.2656338386933755e+21,2.0990207195051655e+21
0.7025089605734766,3.170382023785845e+21,2.97270754730455e+21
0.7150537634408601,4.405564392626559e+21,4.171974268814996e+21
0.7275985663082437,6.079384222073716e+21,5.804428827260394e+21
0.7401433691756272,8.330780903575884e+21,8.008371994296704e+21
0.7526881720430108,1.133652410520284e+22,1.0959893627767781e+22
0.7652329749103942,1.5319415693915552e+22,1.4881077827711468e+22
0.7777777777777777,2.055760741937876e+22,2.004932511264642e+22
0.7903225806451613,2.739498189222542e+22,2.6807739256951145e+22
0.8028673835125447,3.625246561738894e+22,3.5576447639656728e+22
0.8154121863799283,4.764004500681889e+22,4.6864626094839645e+22
0.8279569892473118,6.216913990302176e+22,6.128288283135368e+22
0.8405017921146952,8.056485636180929e+22,7.955552317136977e+22
0.8530465949820788,1.0367749545977176e+23,1.0253207183380118e+23
0.8655913978494623,1.3249254421583904e+23,1.3119727876727278e+23
0.8781362007168458,1.6813822733480134e+23,1.6667868710661935e+23
0.8906810035842293,2.118895658447028e+23,2.102507091389495e+23
0.9032258064516129,2.6516778446643906e+23,2.6333405187826474e+23
0.9157706093189963,3.29533849045411e+23,3.2748927328580155e+23
0.9283154121863798,4.066749147302004e+23,4.044032494769367e+23
0.9408602150537634,4.9838254059530265e+23,4.9586740821996985e+23
0.9534050179211468,6.065216910837853e+23,6.037467486692193e+23
0.9659498207885303,7.329898095729704e+23,7.299389321683263e+23
0.9784946236559139,8.796656199579542e+23,8.763230995275652e+23
0.9910394265232974,1.0483477869741903e+24,1.0446985449933701e+24
1.003584229390681,1.2406841353243327e+24,1.2367139464737074e+24
1.0161290322580645,1.458092772525183e+24,1.4537884964498054e+24
1.0286738351254479,1.7016771520683883e+24,1.697026969714374e+24
1.0412186379928314,1.9721378140701516e+24,1.9671314647061152e+24
1.053763440860215,2.269684204250596e+24,2.2643132189395284e+24
1.0663082437275986,2.593950547430288e+24,2.5882084744551127e+24
1.0788530465949822,2.943920185014437e+24,2.9378028025911326e+24
1.0913978494623655,3.317863025076603e+24,3.31136853662452e+24
1.1039426523297489,3.713290752771402e+24,3.7064199600607105e+24
1.1164874551971324,4.12693417290442e+24,4.1196906225719124e+24
1.129032258064516,4.5547464858869167e+24,4.547136585106687e+24
1.1415770609318996,4.991935432343776e+24,4.983968529857717e+24
1.154121863799283,5.433026101211921e+24,5.424714530461658e+24
1.1666666666666665,5.871954824655071e+24,5.863313906403186e+24
1.17921146953405,6.302193045528275e+24,6.293241048099107e+24
1.1917562724014337,6.7168984231833e+24,6.707656479276216e+24
1.2043010752688172,7.109088838778692e+24,7.099580818689208e+24
1.2168458781362006,7.471833477088021e+24,7.462085819092002e+24
1.2293906810035842,7.798453903032773e+24,7.788495402621496e+24
1.2419354838709675,8.082727114288873e+24,8.072588674862106e+24
1.254480286738351,8.319082016205635e+24,8.308796364709636e+24
1.2670250896057347,8.502780687942135e+24,8.49238205975409e+24
1.279569892473118,8.63007621565255e+24,8.619600013737904e+24
1.2921146953405016,8.698339753254671e+24,8.687822187237363e+24
1.3046594982078852,8.706150793531368e+24,8.695628504800164e+24
1.3172043010752688,8.653346319998007e+24,8.642855999310167e+24
1.3297491039426523,8.541026464013044e+24,8.530604468238886e+24
1.3422939068100357,8.371516392924486e+24,8.361198367597268e+24
1.3548387096774193,8.148286273409552e+24,8.138106787604002e+24
1.3673835125448028,7.875833158063881e+24,7.865825357827852e+24
1.3799283154121864,7.559530409877938e+24,7.549725695994564e+24
1.3924731182795698,7.205451703498063e+24,7.195879438774109e+24
1.4050179211469531,6.820177644550203e+24,6.810864895127996e+24
1.4175627240143367,6.4105935800667e+24,6.401564894463287e+24
1.4301075268817203,5.983687218996119e+24,5.974964447707825e+24
1.4426523297491038,5.546354260129352e+24,5.537956417728253e+24
1.4551971326164874,5.105219384418609e+24,5.09716255513577e+24
1.4677419354838708,4.6664787839823225e+24,4.6587760708470784e+24
1.4802867383512543,4.235768964048463e+24,4.228430480758732e+24
1.492831541218638,3.8180649702611155e+24,3.811097874119614e+24
1.5053763440860215,3.4176095680195735e+24,3.4110181315061436e+24
1.517921146953405,3.0378733330982577e+24,3.031659050976064e+24
1.5304659498207884,2.681544191554098e+24,2.6757059198416327e+24
1.5430107526881718,2.350543742036201e+24,2.3450778647275806e+24
1.5555555555555554,2.0460667541819974e+24,2.0409673732708265e+24
