time_us,output_co_abs2,output_counter_abs2
0.0,5923135251.499127,5923135251.499127
0.012531328320802006,8410592459012.675,8410592459012.675
0.025062656641604012,6.742587836052177e+17,6.742587836052177e+17
0.03759398496240601,2.921426122635685e+19,2.921426122635685e+19
0.050125313283208024,4.388424068507782e+19,4.388424068507782e+19
0.06265664160401004,1.7765421209261763e+19,1.7765421209261763e+19
0.07518796992481203,6.600589886910611e+18,6.600589886910611e+18
0.08771929824561404,1.3728661883685207e+18,1.3728661883685207e+18
0.10025062656641605,2.9430444485507917e+18,2.9430444485507917e+18
0.11278195488721805,1.8519589444071212e+16,1.8519589444071212e+16
0.12531328320802007,1.6289098618143903e+18,1.6289098618143903e+18
0.13784461152882208,2.0222728240288435e+18,2.0222728240288435e+18
0.15037593984962405,1.4148649386583402e+17,1.4148649386583402e+17
0.16290726817042608,1.1392874980338191e+18,1.1392874980338191e+18
0.1754385964912281,3.4537557823050906e+17,3.4537557823050906e+17
0.1879699248120301,5.122348072397759e+16,5.122348072397759e+16
0.2005012531328321,2.813177708826971e+18,2.813177708826971e+18
0.2130325814536341,2.4441839702273635e+17,2.4441839702273635e+17
0.2255639097744361,181471720552415.28,181471720552415.28
0.2380952380952381,1.567744701050136e+17,1.567744701050136e+17
0.25062656641604014,2.799046563568362e+18,2.799046563568362e+18
0.26315789473684215,1.4048166896942515e+18,1.4048166896942515e+18
0.27568922305764415,3.4074397849463776e+17,3.4074397849463776e+17
0.2882205513784461,635359400644366.8,635359400644366.8
0.3007518796992481,1.630130530524811e+17,1.630130530524811e+17
0.31328320802005016,4.9685095125896984e+16,4.9685095125896984e+16
0.32581453634085217,1.8127386247006925e+17,1.8127386247006925e+17
0.33834586466165417,9.142854713718989e+18,9.142854713718989e+18
0.3508771929824562,8.631542877278365e+18,8.631542877278365e+18
0.3634085213032582,1.3484285781965184e+17,1.3484285781965184e+17
0.3759398496240602,1.8533929801109632e+18,1.8533929801109632e+18
0.3884711779448622,3.899736608364368e+17,3.899736608364368e+17
0.4010025062656642,3.793181474913753e+18,3.793181474913753e+18
0.4135338345864662,1.5572693051566449e+18,1.5572693051566449e+18
0.4260651629072682,4.5300657033155784e+18,4.5300657033155784e+18
0.43859649122807026,2.393777195262825e+18,2.393777195262825e+18
0.4511278195488722,1.0963260278384613e+18,1.0963260278384613e+18
0.4636591478696742,1.7204133786507407e+18,1.7204133786507407e+18
0.4761904761904762,1.462141596476622e+17,1.462141596476622e+17
0.4887218045112783,6.443093266261189e+18,6.443093266261189e+18
0.5012531328320803,2.2714353516527736e+16,2.2714353516527736e+16
0.5137844611528822,1.812500163059601e+18,1.812500163059601e+18
0.5263157894736843,1.4921740065642964e+18,1.4921740065642964e+18
0.5388471177944862,4.649474106149515e+18,4.649474106149515e+18
0.5513784461152883,4.891482138728305e+17,4.891482138728305e+17
0.5639097744360902,1.6547520153073782e+18,1.6547520153073782e+18
0.5764411027568922,8.577384217675098e+16,8.577384217675098e+16
0.5889724310776943,7930800840452822.0,7930800840452822.0
0.6015037593984962,1.0548571636595853e+18,1.0548571636595853e+18
0.6140350877192984,6.223359526509799e+18,6.223359526509799e+18
0.6265664160401003,8.528490009596909e+17,8.528490009596909e+17
0.6390977443609024,2.335016685107271e+18,2.335016685107271e+18
0.6516290726817043,6.083847774709551e+18,6.083847774709551e+18
0.6641604010025063,1.3703586590894566e+18,1.3703586590894566e+18
0.6766917293233083,2.211949639330504e+18,2.211949639330504e+18
0.6892230576441103,1.984068139040991e+19,1.984068139040991e+19
0.7017543859649124,3.131799407198898e+18,3.131799407198898e+18
0.7142857142857143,1.9901031034635566e+18,1.9901031034635566e+18
0.7268170426065164,1.0159871436010842e+19,1.0159871436010842e+19
0.7393483709273184,3.4758429570156524e+16,3.4758429570156524e+16
0.7518796992481204,1.64994861907555e+18,1.64994861907555e+18
0.7644110275689224,9.973912445143878e+17,9.973912445143878e+17
0.7769423558897244,3.00203026670528e+18,3.00203026670528e+18
0.7894736842105264,2.413530089090364e+16,2.413530089090364e+16
0.8020050125313284,1.7546375160928494e+18,1.7546375160928494e+18
0.8145363408521303,1.1758374555187702e+18,1.1758374555187702e+18
0.8270676691729324,4.665414837078562e+17,4.665414837078562e+17
0.8395989974937343,4.213060399740733e+18,4.213060399740733e+18
0.8521303258145364,9.152321245397142e+16,9.152321245397142e+16
0.8646616541353384,8.256985337159493e+17,8.256985337159493e+17
0.8771929824561405,4.726422924546355e+18,4.726422924546355e+18
0.8897243107769425,1.28705823391446e+19,1.28705823391446e+19
0.9022556390977444,2.666959824343734e+19,2.666959824343734e+19
0.9147869674185465,4.7891386435573555e+19,4.7891386435573555e+19
0.9273182957393484,7.873634729214774e+19,7.873634729214774e+19
0.9398496240601505,1.2192712868973584e+20,1.2192712868973584e+20
0.9523809523809524,1.808141770747396e+20,1.808141770747396e+20
0.9649122807017545,2.5949928758034153e+20,2.5949928758034153e+20
0.9774436090225566,3.6297955700396235e+20,3.6297955700396235e+20
0.9899749373433584,4.973143279270441e+20,4.973143279270441e+20
1.0025062656641606,6.698178810627726e+20,6.698178810627726e+20
1.0150375939849625,8.892807774643746e+20,8.892807774643746e+20
1.0275689223057645,1.1662228624894542e+21,1.1662228624894542e+21
1.0401002506265664,1.5131810079031862e+21,1.5131810079031862e+21
1.0526315789473686,1.945034674283327e+21,1.945034674283327e+21
1.0651629072681703,2.47937230866396e+21,2.47937230866396e+21
1.0776942355889725,3.1369014366075145e+21,3.1369014366075145e+21
1.0902255639097747,3.941905047112917e+21,3.941905047112917e+21
